bodyMass,mu,sigma,nu
159.9,302.8877842,0.089379968,3.170209876
160.0,303.0209532,0.089363958,3.170642235
160.1,303.1541806,0.089347951,3.171074324
160.2,303.2874667,0.089331946,3.171506143
160.3,303.4208114,0.089315945,3.171937693
160.4,303.5542147,0.089299946,3.172368974
160.5,303.6876766,0.08928395,3.172799985
160.6,303.8211973,0.089267957,3.173230729
160.7,303.9547766,0.089251967,3.173661204
160.8,304.0884147,0.089235979,3.174091412
160.9,304.2221115,0.089219995,3.174521352
161.0,304.3558671,0.089204013,3.174951025
161.1,304.4896815,0.089188034,3.175380431
161.2,304.6235547,0.089172059,3.17580957
161.3,304.7574868,0.089156086,3.176238444
161.4,304.8914778,0.089140115,3.176667052
161.5,305.0255277,0.089124148,3.177095394
161.6,305.1596365,0.089108184,3.177523471
161.7,305.2938043,0.089092222,3.177951283
161.8,305.4280311,0.089076263,3.178378831
161.9,305.5623169,0.089060308,3.178806115
162.0,305.6966618,0.089044355,3.179233134
162.1,305.8310657,0.089028404,3.179659891
162.2,305.9655287,0.089012457,3.180086384
162.3,306.1000508,0.088996513,3.180512614
162.4,306.234632,0.088980571,3.180938582
162.5,306.3692725,0.088964632,3.181364287
162.6,306.5039721,0.088948697,3.181789731
162.7,306.638731,0.088932764,3.182214913
162.8,306.7735491,0.088916833,3.182639834
162.9,306.9084264,0.088900906,3.183064493
163.0,307.0433631,0.088884982,3.183488893
163.1,307.1783591,0.08886906,3.183913032
163.2,307.3134145,0.088853141,3.184336911
163.3,307.4485292,0.088837225,3.18476053
163.4,307.5837033,0.088821312,3.18518389
163.5,307.7189369,0.088805402,3.185606991
163.6,307.8542299,0.088789495,3.186029833
163.7,307.9895825,0.08877359,3.186452417
163.8,308.1249945,0.088757689,3.186874743
163.9,308.260466,0.08874179,3.187296811
164.0,308.3959972,0.088725894,3.187718622
164.1,308.5315879,0.088710001,3.188140175
164.2,308.6672382,0.088694111,3.188561472
164.3,308.8029482,0.088678223,3.188982512
164.4,308.9387178,0.088662339,3.189403296
164.5,309.0745471,0.088646457,3.189823824
164.6,309.2104361,0.088630578,3.190244097
164.7,309.3463849,0.088614702,3.190664114
164.8,309.4823935,0.088598829,3.191083877
164.9,309.6184619,0.088582959,3.191503384
165.0,309.75459,0.088567091,3.191922638
165.1,309.8907781,0.088551226,3.192341637
165.2,310.027026,0.088535365,3.192760383
165.3,310.1633338,0.088519506,3.193178875
165.4,310.2997015,0.088503649,3.193597114
165.5,310.4361292,0.088487796,3.194015101
165.6,310.5726169,0.088471946,3.194432835
165.7,310.7091646,0.088456098,3.194850317
165.8,310.8457723,0.088440253,3.195267546
165.9,310.9824401,0.088424411,3.195684525
166.0,311.119168,0.088408572,3.196101252
166.1,311.255956,0.088392736,3.196517728
166.2,311.3928041,0.088376903,3.196933953
166.3,311.5297124,0.088361072,3.197349928
166.4,311.6666809,0.088345244,3.197765653
166.5,311.8037096,0.088329419,3.198181129
166.6,311.9407986,0.088313597,3.198596354
