bodyMass,mu,sigma,nu
66.8,300.6163047,0.075574725,6.592720743
66.9,300.9754626,0.075581073,6.586410455
67.0,301.3327268,0.075587422,6.580109591
67.1,301.6880945,0.075593772,6.573818125
67.2,302.0415628,0.075600122,6.567536028
67.3,302.3931289,0.075606472,6.561263272
67.4,302.7427902,0.075612823,6.554999831
67.5,303.0905438,0.075619175,6.548745675
67.6,303.4363874,0.075625527,6.542500778
67.7,303.7803182,0.07563188,6.536265112
67.8,304.1223338,0.075638233,6.530038649
67.9,304.4624318,0.075644587,6.523821364
68.0,304.8006097,0.075650941,6.517613229
68.1,305.1368654,0.075657296,6.511414216
68.2,305.4711964,0.075663651,6.5052243
68.3,305.8036007,0.075670007,6.499043453
68.4,306.134076,0.075676363,6.492871649
68.5,306.4626203,0.07568272,6.486708861
68.6,306.7892315,0.075689078,6.480555064
68.7,307.1139076,0.075695436,6.47441023
68.8,307.4366469,0.075701794,6.468274335
68.9,307.7574472,0.075708153,6.462147352
69.0,308.076307,0.075714513,6.456029254
69.1,308.3932244,0.075720873,6.449920018
69.2,308.7081977,0.075727234,6.443819616
69.3,309.0212253,0.075733595,6.437728023
69.4,309.3323056,0.075739957,6.431645214
69.5,309.6414371,0.075746319,6.425571163
69.6,309.9486183,0.075752682,6.419505846
69.7,310.2538478,0.075759046,6.413449237
69.8,310.5571243,0.07576541,6.407401312
69.9,310.8584464,0.075771774,6.401362045
70.0,311.157813,0.075778139,6.395331411
70.1,311.4552228,0.075784505,6.389309387
70.2,311.7506746,0.075790871,6.383295947
70.3,312.0441675,0.075797237,6.377291068
70.4,312.3357003,0.075803604,6.371294724
70.5,312.6252722,0.075809972,6.365306891
70.6,312.9128822,0.07581634,6.359327546
70.7,313.1985295,0.075822709,6.353356664
70.8,313.4822132,0.075829079,6.347394222
70.9,313.7639326,0.075835448,6.341440195
71.0,314.0436871,0.075841819,6.33549456
71.1,314.3214759,0.07584819,6.329557293
71.2,314.5972985,0.075854561,6.323628371
71.3,314.8711545,0.075860933,6.31770777
71.4,315.1430432,0.075867306,6.311795468
71.5,315.4129643,0.075873679,6.30589144
71.6,315.6809174,0.075880052,6.299995663
71.7,315.9469022,0.075886427,6.294108115
71.8,316.2109185,0.075892801,6.288228773
71.9,316.472966,0.075899177,6.282357614
72.0,316.7330446,0.075905552,6.276494615
72.1,316.9911543,0.075911929,6.270639753
72.2,317.2472948,0.075918306,6.264793006
72.3,317.5014664,0.075924683,6.258954351
72.4,317.7536689,0.075931061,6.253123766
72.5,318.0039026,0.07593744,6.24730123
72.6,318.2521717,0.075943819,6.241486718
72.7,318.4984955,0.075950198,6.23568021
72.8,318.7428965,0.075956578,6.229881684
72.9,318.9853976,0.075962959,6.224091117
73.0,319.2260217,0.07596934,6.218308488
73.1,319.4647917,0.075975722,6.212533775
73.2,319.7017308,0.075982104,6.206766956
73.3,319.9368623,0.075988487,6.20100801
73.4,320.1702094,0.075994871,6.195256915
73.5,320.4017957,0.076001254,6.18951365
73.6,320.6316447,0.076007639,6.183778194
73.7,320.8597801,0.076014024,6.178050526
73.8,321.0862257,0.07602041,6.172330623
73.9,321.3110053,0.076026796,6.166618466
74.0,321.534143,0.076033182,6.160914034
74.1,321.7556628,0.07603957,6.155217304
74.2,321.9755889,0.076045957,6.149528258
74.3,322.1939457,0.076052346,6.143846874
74.4,322.4107576,0.076058735,6.138173131
74.5,322.6260489,0.076065124,6.132507008
